gx,gy,gz,x,y,z
0,-1,-1,2,-3,-63
0,-1,-1,1,-9,-67
3,-2,-1,-2,-10,-67
4,-3,-1,2,-4,-60
3,-2,-1,2,-3,-59
0,-1,-1,1,-4,-58
-1,0,-1,0,-9,-64
0,-1,-1,1,-8,-63
0,-1,-1,-2,-6,-60
-1,-1,-1,-3,-7,-62
0,-1,-2,2,-7,-62
-1,0,-1,2,-7,-62
-1,0,-1,-3,-7,-62
-1,0,-1,-1,-6,-62
-1,0,-1,1,-6,-63
-1,0,-1,1,-7,-63
-1,0,-1,-1,-7,-62
-1,0,-1,0,-6,-64
-1,0,-1,3,-5,-65
-1,0,0,1,-8,-64
0,0,-1,-1,-8,-60
-1,-1,-1,0,-10,-61
-1,-1,-1,0,-8,-63
0,-1,-1,1,-5,-63
-1,-1,-1,0,-6,-62
-1,-1,-1,1,-8,-62
-1,-1,-1,2,-8,-64
0,0,-1,1,-6,-63
0,0,-1,-1,-7,-60
-1,-1,-1,1,-8,-62
-1,0,-1,2,-8,-62
0,0,-1,0,-7,-60
-1,0,-1,0,-7,-62
-1,0,-1,0,-6,-64
-1,0,-1,0,-6,-63
-1,-1,-1,0,-6,-64
-1,-1,-1,1,-7,-62
0,-1,-1,2,-9,-60
-1,0,-1,0,-9,-60
-1,0,-1,-1,-6,-62
-1,0,-1,-1,-6,-62
-1,-1,-1,2,-6,-64
-1,0,-1,3,-6,-64
-1,0,-1,2,-7,-65
0,0,-1,0,-6,-63
0,0,-1,1,-6,-63
0,0,-1,2,-7,-63
0,0,-1,1,-7,-62
0,0,-1,0,-7,-62
0,0,-1,1,-6,-62
0,0,-1,1,-6,-62
-1,-1,-1,1,-7,-62
0,0,-1,2,-7,-62
-1,0,-1,3,-6,-63
-1,0,-1,1,-6,-63
0,0,-1,1,-6,-63
0,0,-1,1,-7,-62
-1,0,-1,1,-7,-61
-1,0,-1,1,-8,-62
-1,-1,-1,2,-7,-62
-1,-1,-1,1,-6,-62
-1,0,-1,2,-6,-62
-1,0,-1,3,-7,-62
-1,0,-1,1,-6,-61
-1,0,-1,1,-7,-62
-1,0,-1,1,-6,-63
-1,0,-1,1,-5,-63
-1,0,-1,2,-6,-63
-1,0,-1,1,-6,-62
-1,0,-1,2,-5,-62
-1,0,-1,2,-5,-63
-1,-1,-1,1,-6,-62
-1,-1,-1,3,-6,-63
-1,0,-1,3,-5,-64
-1,0,-1,2,-5,-63
-1,0,-1,2,-4,-63
-1,0,-1,3,-4,-64
-1,0,-1,3,-5,-63
-1,0,-1,3,-5,-62
-1,0,-1,3,-6,-63
0,0,-1,2,-6,-63
0,0,-1,2,-4,-63
0,0,-1,3,-4,-62
-1,0,-1,3,-5,-62
0,0,-1,2,-6,-62
0,0,-1,3,-5,-62
0,0,-1,4,-6,-62
0,0,-1,3,-6,-62
0,0,-1,3,-5,-62
0,0,-1,3,-5,-62
0,0,-1,3,-5,-62
-1,0,-1,4,-6,-62
-1,0,-1,3,-5,-62
-1,0,-1,4,-4,-63
-1,0,-1,4,-5,-63
-1,0,-1,3,-6,-62
-1,0,-1,4,-6,-62
-1,0,-1,4,-6,-63
0,0,-1,2,-6,-62
0,0,-1,3,-5,-62
-1,0,-1,3,-6,-62
0,0,-1,2,-5,-62
-1,0,-1,3,-4,-63
0,0,-1,3,-4,-62
-1,0,-1,3,-5,-62
-1,0,-1,3,-5,-62
-1,0,-1,3,-4,-63
-1,-1,-1,3,-5,-63
-1,-1,-1,3,-5,-62
-1,-1,-1,4,-4,-62
-1,-1,-1,4,-5,-62
-1,0,-1,4,-5,-62
-1,0,-1,3,-4,-62
-1,0,-1,4,-4,-62
-1,0,-1,4,-5,-63
-1,0,-1,4,-4,-63
-1,0,-1,3,-4,-63
-1,0,-1,3,-4,-63
-1,0,-1,4,-5,-63
0,0,-1,3,-6,-62
0,-1,-1,3,-4,-62
-1,0,-1,4,-5,-62
0,0,-1,3,-5,-62
0,-1,-1,3,-4,-62
-1,-1,-1,3,-5,-62
-1,-1,-1,3,-5,-62
-1,-1,-1,3,-4,-62
-1,-1,-1,3,-4,-61
-1,-1,-1,3,-5,-61
-1,-1,-1,4,-4,-62
-1,0,-1,2,-4,-62
-1,-1,-1,2,-4,-61
-1,-1,-1,3,-3,-62
-1,-1,-1,5,-3,-63
-1,0,-1,4,-4,-63
-1,-1,-1,3,-3,-62
-1,-1,-1,4,-4,-64
-1,-1,-1,3,-3,-63
-1,-1,-1,3,-4,-62
-1,-1,-1,3,-4,-63
-1,-1,-1,4,-3,-63
