gx,gy,gz,x,y,z
-1,-1,-1,5,-7,66
-1,-1,-1,6,-7,66
-1,0,0,5,-7,66
-1,0,0,4,-8,65
0,-1,-1,4,-8,65
0,-1,-1,5,-7,66
-1,0,-1,5,-7,66
-1,0,0,5,-8,65
0,0,0,5,-8,65
0,0,-1,5,-7,65
0,0,-1,5,-7,66
0,0,-1,5,-7,66
-1,0,0,5,-7,65
0,0,0,4,-7,66
0,0,0,4,-7,66
-1,0,-1,5,-8,65
0,0,-1,4,-8,65
0,0,-1,4,-8,66
0,0,-1,5,-7,67
0,0,-1,4,-7,67
0,0,-1,5,-7,66
0,0,-1,5,-7,67
-1,0,-1,5,-7,66
-1,0,-1,5,-7,65
0,0,0,5,-7,66
0,0,-1,5,-7,66
0,0,-1,5,-7,66
0,-1,-1,5,-7,66
0,-1,0,5,-7,66
-1,0,0,4,-7,66
-1,0,0,5,-7,65
0,-1,0,5,-7,65
0,0,0,4,-7,66
0,0,-1,5,-7,65
0,0,0,6,-7,65
0,0,0,5,-7,65
0,0,0,4,-8,65
0,0,0,4,-8,65
0,0,0,4,-7,67
0,0,-1,5,-7,67
-1,0,-1,5,-7,67
-1,0,0,5,-7,66
-1,0,0,5,-8,65
0,0,0,4,-7,66
0,0,-1,5,-7,66
0,-1,-1,5,-7,66
0,-1,-1,5,-7,67
0,-1,-1,5,-7,67
-1,0,0,4,-7,66
-1,0,-1,4,-7,65
0,-1,-1,5,-7,66
0,0,-1,5,-7,66
0,-1,0,5,-7,66
0,-1,0,5,-7,65
0,-1,0,5,-7,66
0,0,0,5,-7,66
0,-1,0,4,-7,66
0,-1,0,5,-7,65
0,0,0,5,-7,65
0,0,0,5,-7,66
0,-1,0,5,-7,66
0,-1,0,5,-7,66
0,0,0,5,-7,66
0,0,0,4,-7,66
0,-1,-1,5,-7,66
0,0,-1,6,-6,67
0,0,0,6,-6,66
0,-1,0,4,-7,66
0,0,0,5,-6,67
0,0,0,6,-6,67
-1,0,0,5,-7,64
0,0,0,5,-8,64
0,0,-1,5,-7,65
0,0,-1,6,-7,64
0,0,0,6,-7,65
0,0,0,5,-7,65
0,0,0,4,-7,64
0,0,0,5,-6,64
0,0,0,4,-6,65
0,0,0,3,-6,66
0,0,0,5,-6,66
0,0,0,5,-6,67
0,0,0,5,-6,68
0,0,0,2,-6,68
0,0,0,2,-6,69
0,0,0,3,-5,68
0,0,0,3,-5,68
0,-1,0,4,-4,67
0,-1,0,6,-4,65
0,-1,0,6,-3,66
0,-1,0,6,-3,66
0,-1,0,5,-4,66
0,-1,0,4,-4,67
0,-1,0,5,-4,66
0,0,0,4,-5,65
0,0,0,2,-6,65
0,0,0,2,-5,65
0,0,-1,3,-5,65
0,0,-1,5,-4,64
0,0,-1,6,-4,63
0,-1,0,6,-3,65
0,-1,0,5,-4,66
0,-1,0,4,-4,67
0,0,0,5,-4,67
-1,0,0,6,-4,66
0,0,0,4,-5,66
0,0,0,4,-5,66
0,0,0,3,-5,67
-1,0,0,4,-5,66
0,0,0,4,-5,64
0,0,0,2,-5,66
0,-1,0,3,-5,65
0,-1,0,2,-5,67
0,-1,0,1,-5,66
0,-1,-1,3,-3,66
0,-1,-1,7,-2,67
0,-1,0,7,-1,68
0,-1,0,5,-1,67
0,-1,0,4,-2,67
0,-1,0,4,-2,67
0,0,0,4,-2,67
0,-1,0,4,-2,67
-1,-1,0,5,-1,70
-1,-1,0,4,-3,67
-1,-1,0,4,-4,65
0,-2,0,7,-4,64
0,-2,0,7,-3,66
0,-1,0,7,-3,66
