gx,gy,gz,x,y,z
-1,0,-1,59,-4,7
-1,0,-1,60,-5,5
-1,0,-1,62,-4,4
-1,-1,-1,64,-4,3
-1,-1,-1,65,-4,4
-1,0,-1,64,-3,5
-1,0,-1,64,-3,4
-1,0,-1,63,-4,4
0,0,-1,64,-3,5
0,-1,-1,63,-3,6
0,0,-1,63,-3,5
0,-1,-1,63,-2,6
0,-1,-1,63,-2,6
0,-1,-1,62,-2,6
-1,-1,-1,63,-3,5
0,-1,-1,64,-2,5
0,0,-1,64,-1,6
-1,0,-1,63,-2,5
-1,0,-1,63,-2,5
-1,0,-1,64,-2,4
-1,0,-1,65,-2,4
0,0,-1,63,-2,5
0,0,-1,62,-2,5
0,0,-1,63,-2,5
0,0,-1,64,-2,5
0,0,-1,64,-1,7
0,0,-1,64,-1,7
-1,0,-1,64,-1,6
-1,0,-1,64,-1,7
-1,0,-1,64,-1,6
-1,0,-1,64,-2,5
-1,0,0,64,-1,5
-1,0,0,63,-1,6
-1,0,0,62,-1,6
-1,0,-1,63,-1,6
-1,0,-1,63,-1,6
-1,0,-1,63,-2,6
-1,0,-1,63,-2,5
-1,-1,0,64,-1,6
-1,-1,0,64,-1,6
-1,0,-1,64,-2,5
-1,-1,0,64,-2,5
0,-1,0,64,-2,6
0,0,0,64,-1,6
0,0,0,63,-1,6
-1,0,0,62,-2,7
-1,0,0,63,-2,7
-1,0,-1,63,-2,7
-1,0,-1,63,-2,6
-1,0,-1,63,-2,6
-1,0,-1,63,-2,6
-1,-1,-1,62,-2,6
-1,-1,-1,63,-2,6
-1,-1,-1,64,-1,7
-1,0,-1,63,-1,6
-1,0,-1,64,-2,5
0,-1,0,64,-1,6
-1,0,-1,63,-1,7
-1,0,-1,64,-2,6
0,-1,-1,64,-1,7
-1,0,-1,63,-1,6
-1,0,-1,63,-2,6
0,-1,-1,63,-1,7
-1,0,-1,63,-1,7
-1,0,-1,64,-1,7
-1,0,-1,64,0,8
-1,0,-1,64,0,8
-1,0,0,64,-1,6
-1,0,-1,64,-1,6
-1,0,0,64,0,8
-2,0,0,63,-1,6
-1,0,0,63,-1,7
-2,0,0,63,0,8
-2,-1,0,64,-3,4
-1,-1,0,66,0,7
-2,0,0,65,2,10
-2,0,0,64,-2,5
-2,0,0,64,-3,4
-1,0,0,63,-2,6
-2,-1,0,63,0,9
-2,-1,0,62,-2,7
-2,-1,-1,61,-2,7
-2,-1,-1,62,-2,7
-2,-1,-1,64,-2,6
-2,-1,0,63,-1,7
-2,-1,0,62,-2,7
-2,-1,0,62,-3,6
-2,-1,-1,63,-2,6
-2,-1,-1,62,-1,6
-3,-1,-1,63,-2,4
-3,-1,-1,64,-2,4
-3,-1,-1,65,0,8
-3,-1,-1,63,-2,6
-3,-1,-1,63,-2,5
-3,-1,-1,63,-1,6
-3,-1,-1,63,-4,1
-3,-1,-1,63,-2,3
-3,-1,-1,63,-1,5
-3,-1,-1,63,-2,3
-3,-1,-1,62,-2,4
-3,-1,-1,61,-1,5
-3,-1,-1,63,-2,3
-3,-1,-1,65,-3,-2
-3,-1,-1,66,1,3
-3,-1,0,64,1,4
-3,0,-1,62,-2,2
-3,0,-1,64,0,4
-3,-1,-1,67,0,4
-3,-1,-1,64,-1,1
-3,0,-1,64,0,2
-3,0,-1,64,-1,2
-3,0,-1,63,-1,1
-3,0,-1,66,-1,0
-2,-1,-1,66,-1,0
-2,0,0,63,-1,2
-2,0,0,64,1,5
-2,0,0,64,-1,4
-2,0,-1,63,-1,3
-2,0,0,63,-2,3
-2,0,0,64,-1,5
-2,0,0,63,-1,5
-3,0,0,64,0,6
-3,0,0,66,-1,4
-3,0,0,67,-1,2
-3,1,0,65,-1,4
-3,0,0,63,-2,4
-2,0,0,64,-2,5
-2,-1,0,64,-2,3
-2,-1,0,63,-3,3
-2,0,0,63,-2,4
-2,0,0,62,-3,5
-2,0,0,61,-3,6
-2,0,0,62,-4,5
-2,0,0,64,-3,5
-2,-1,0,64,-3,6
-2,0,0,65,-3,5
-2,0,0,65,-3,5
-2,0,0,62,-4,5
-1,-1,0,62,-3,7
-1,-1,-1,63,-5,4
-1,0,-1,63,-5,3
-1,0,0,61,-3,7
0,-1,0,62,-4,4
0,-1,0,63,-5,2
0,-1,0,64,-3,4
0,-1,0,62,-3,6
0,-1,0,63,-5,3
0,-1,-1,64,-4,3
0,0,-1,64,-4,5
0,-1,-1,63,-3,7
0,-1,-1,64,-5,4
0,-1,-1,64,-4,4
0,-1,0,63,-3,6
0,-1,-1,62,-5,4
0,-1,-1,64,-4,4
0,-1,-1,64,-3,4
0,0,-1,63,-4,3
0,0,-1,65,-3,4
0,0,-1,64,-2,5
0,0,-1,63,-3,5
0,0,-1,64,-3,5
0,0,-1,64,-3,5
0,0,-1,64,-3,5
0,0,-1,64,-3,5
0,0,-1,63,-2,5
0,0,-1,63,-3,5
-1,0,-1,63,-3,4
-1,0,-1,64,-3,4
0,0,-1,64,-2,6
-1,0,-1,63,-3,5
-1,0,-1,63,-3,5
-1,0,-1,64,-3,5
0,0,0,63,-2,5
-1,0,-1,63,-3,5
-1,0,-1,64,-3,5
-1,0,-1,63,-3,5
-1,0,-1,63,-3,4
-1,-1,0,62,-2,6
-1,-1,-1,63,-3,5
-1,-1,-1,63,-3,4
-1,-1,-1,63,-3,4
-1,-1,-1,64,-2,5
-1,-1,-1,65,-2,5
-1,0,-1,64,-3,4
-1,-1,0,63,-3,4
-1,-1,-1,64,-2,6
-1,0,-1,64,-3,5
-1,0,-1,63,-3,5
-1,0,-1,63,-3,5
-1,0,0,64,-3,5
-1,0,0,63,-3,5
-1,0,-1,63,-2,5
-1,0,-1,63,-3,4
-1,-1,-1,63,-3,6
-1,-1,-1,62,-2,6
-1,-1,-1,63,-2,5
-1,-1,-1,64,-3,3
-1,-1,-1,64,-2,5
0,-1,-1,64,-2,4
0,-1,-1,63,-2,3
0,-1,-1,65,-2,3
0,0,0,66,-3,3
0,0,0,63,-2,4
0,-1,0,63,-3,3
1,-1,0,65,-3,3
1,-1,0,64,-3,3
1,-1,0,63,-4,2
1,-1,0,63,-4,2
1,0,0,64,-1,5
1,0,0,64,-1,6
1,0,0,64,-3,3
1,0,0,64,-2,4
1,0,0,63,-3,4
1,-1,0,63,-2,6
0,0,0,63,-2,5
0,0,0,64,-3,5
0,0,0,63,-2,6
0,0,-1,63,-2,6
-1,-1,-1,64,-2,5
-1,-1,-1,63,-2,5
-1,-1,-1,64,-2,5
-1,0,0,64,-2,5
-1,0,-1,64,-3,4
-1,0,0,64,-1,6
-1,0,0,63,-2,5
-1,0,-1,63,-3,4
-1,0,-1,64,-2,5
-1,0,0,63,-2,5
-1,-1,-1,63,-2,5
-1,-1,0,63,-3,5
-1,-1,0,63,-2,5
-1,-1,0,64,-2,5
-1,-1,0,64,-3,4
-2,-1,0,64,-3,4
-1,0,0,65,-3,5
-1,0,0,64,-3,4
