gx,gy,gz,x,y,z
1,0,-1,-64,-10,3
1,0,-1,-63,-10,1
0,0,0,-64,-7,0
-1,0,0,-65,-6,0
-1,0,0,-65,-8,0
0,0,0,-65,-8,1
1,0,0,-64,-8,2
1,0,0,-65,-8,0
0,0,-1,-66,-7,-1
0,0,-1,-66,-6,-1
0,1,0,-65,-6,-2
0,1,-1,-64,-8,-1
0,1,0,-64,-9,-1
0,1,-1,-65,-7,-2
0,0,0,-66,-5,-3
0,0,0,-65,-7,-3
0,0,0,-65,-7,-3
0,0,0,-63,-7,-2
0,0,0,-64,-8,-3
0,0,0,-66,-7,-4
0,0,-1,-64,-7,-4
0,0,-1,-64,-7,-4
0,0,-1,-65,-8,-4
0,0,-1,-66,-7,-4
1,0,-1,-67,-8,-3
1,0,-1,-65,-7,-3
1,0,-1,-64,-8,-3
0,0,-1,-64,-9,-3
0,0,0,-64,-7,-4
1,0,0,-64,-9,-4
1,0,-1,-63,-9,-4
1,0,-1,-64,-8,-4
0,-1,-1,-66,-8,-4
0,0,-1,-65,-9,-4
0,0,-1,-64,-8,-4
0,0,-1,-65,-9,-4
0,0,-1,-65,-8,-4
0,0,-1,-64,-8,-4
0,0,-1,-65,-8,-4
0,0,-1,-65,-9,-4
0,0,-1,-65,-9,-4
1,0,-1,-65,-8,-5
1,0,-1,-64,-10,-4
1,0,-1,-64,-10,-4
0,0,-1,-64,-10,-4
0,0,-1,-64,-10,-4
0,0,-1,-64,-10,-5
0,0,-1,-64,-10,-4
0,0,-1,-63,-10,-4
0,0,-1,-63,-10,-5
0,-1,0,-63,-10,-5
0,-1,0,-65,-9,-5
0,0,0,-65,-9,-5
1,0,0,-63,-10,-4
1,0,0,-63,-11,-4
0,0,0,-65,-10,-4
0,0,0,-65,-10,-5
0,0,0,-64,-10,-5
0,-1,0,-65,-9,-5
0,-1,0,-65,-10,-4
0,0,0,-65,-10,-4
0,0,0,-65,-10,-4
0,-1,0,-66,-10,-4
0,0,0,-66,-11,-4
0,0,0,-64,-10,-4
0,-1,0,-64,-11,-4
0,-1,0,-64,-11,-4
0,-1,0,-63,-9,-4
0,-1,0,-64,-9,-4
0,-1,0,-65,-10,-4
0,-1,0,-64,-10,-4
0,-1,-1,-64,-10,-4
0,-1,-1,-64,-9,-3
0,-1,-1,-64,-10,-4
-1,-1,-1,-66,-10,-4
0,0,-1,-66,-9,-3
0,0,-1,-64,-9,-3
0,0,-1,-65,-9,-3
0,0,0,-64,-11,-3
0,0,-1,-65,-11,-3
0,0,-1,-64,-11,-3
0,0,-1,-65,-11,-4
0,0,-1,-65,-11,-5
-1,0,-1,-64,-11,-5
