gx,gy,gz,x,y,z
0,-1,0,4,-65,12
0,-1,0,4,-65,11
0,-1,-1,5,-66,11
0,-1,0,6,-65,14
-1,-1,0,5,-65,13
-1,-1,0,4,-65,12
-1,-1,0,5,-65,12
0,-1,0,4,-65,12
0,-1,0,4,-65,11
0,-1,0,4,-65,12
0,-1,0,4,-66,12
0,-1,0,4,-66,10
0,-1,0,5,-65,11
0,-1,0,3,-65,14
0,-1,0,3,-65,13
0,-1,0,4,-66,11
0,-2,0,5,-65,13
0,-1,0,4,-65,14
0,-1,0,3,-65,15
0,-2,0,5,-65,14
0,-2,0,5,-65,13
0,-1,0,3,-65,14
0,-1,0,3,-65,14
0,-2,0,4,-65,14
0,-2,0,3,-65,14
0,-2,0,3,-65,14
0,-2,0,3,-65,13
0,-2,0,4,-65,14
0,-2,0,4,-65,14
-1,-2,0,4,-65,14
0,-2,0,3,-65,15
0,-2,0,3,-65,14
-1,-2,0,3,-65,14
-1,-2,0,3,-65,14
0,-2,0,3,-65,14
0,-2,0,3,-65,14
-1,-2,0,4,-65,14
-1,-2,0,3,-65,15
-1,-2,0,1,-66,13
-1,-2,0,2,-65,12
-1,-2,0,3,-65,12
-1,-2,0,2,-65,13
-1,-2,0,1,-66,14
-1,-2,0,1,-66,13
-1,-3,0,3,-66,11
0,-3,0,3,-65,11
0,-2,0,3,-65,12
0,-2,0,2,-66,14
0,-2,-1,2,-65,14
-1,-2,-1,3,-65,12
0,-2,-1,4,-65,11
0,-2,-1,3,-65,12
0,-2,-1,3,-65,14
0,-2,-1,4,-65,14
0,-2,-1,4,-64,13
0,-2,-1,4,-63,15
-1,-2,-1,4,-65,12
-1,-2,-1,4,-66,10
0,-2,-1,4,-66,11
0,-1,-1,3,-66,14
0,-2,-1,4,-66,14
0,-2,-1,5,-65,14
0,-2,0,7,-64,14
0,-2,0,5,-65,13
0,-2,0,4,-65,13
0,-2,0,5,-65,13
0,-2,0,4,-65,14
0,-2,0,4,-65,14
-1,-2,-1,5,-65,13
0,-2,0,5,-65,13
0,-2,0,5,-65,14
-1,-2,0,4,-65,14
-1,-2,0,5,-65,13
-1,-2,0,5,-65,12
0,-2,0,4,-65,13
0,-2,0,4,-65,14
0,-2,0,5,-65,13
0,-2,0,6,-65,12
0,-2,0,6,-65,13
-1,-2,0,5,-65,13
0,-2,0,5,-65,13
0,-2,0,5,-65,13
-1,-2,0,5,-65,14
-1,-2,0,6,-65,13
-1,-2,0,5,-65,12
-1,-1,0,4,-65,13
-1,-1,0,5,-65,13
-1,-1,0,5,-65,12
0,-1,0,5,-65,12
0,-1,0,5,-65,13
0,-2,0,5,-65,12
0,-2,0,6,-65,13
0,-2,0,6,-65,13
0,-2,0,5,-65,12
0,-2,0,5,-65,12
0,-2,0,5,-65,13
0,-2,0,5,-65,13
0,-2,0,5,-65,12
0,-2,0,6,-65,12
0,-2,0,6,-65,13
0,-2,0,6,-65,12
0,-2,0,5,-65,12
0,-2,0,5,-65,13
0,-2,0,6,-65,13
0,-2,0,7,-65,12
0,-2,0,6,-65,13
0,-2,0,4,-66,13
0,-2,0,6,-65,11
0,-1,0,5,-65,12
0,-1,0,4,-65,14
-1,-1,-1,4,-65,13
-1,-1,-1,6,-65,11
0,-1,0,6,-65,12
0,-1,0,5,-65,12
